page_name,about,fan_count,talking_about_count,website,page_id,year,month,day
Second Nexus,We are crusaders on a mission to declutter the Internet highway by providing content that not only entertains but enlightens.,49360,424,"http://secondnexus.com, plus.google.com/+Secondnexus2NEX, linkedin.com/company/second-nexus, twitter.com/SecondNexus, http://pinterest.com/secondnexus",651833651535152,,,
USA Supreme,"Welcome to USA Supreme! We strive to be the best source for Political, Government, Cultural, Economic and Technological information and news. We will report everything the mainstream media ignores! Enjoy!",202599,12081,http://www.usasupreme.com,667824596689766,,,
USA News Studio,Usa and World Politics,108345,9055,http://americantoday.news/,689005071241062,,,
Ann Coulter,Ann Coulter is a twelve-time New York Times bestselling author and right-wing polemicist. #AdiosAmerica,686489,43014,http://www.anncoulter.com,695526053890545,2015,,
Sean Hannity,"Sean Hannity hosts 'Hannity' on the Fox News Channel and 'The Sean Hannity Show,' the second most listened to radio talk show in America.",3180094,188534,http://www.hannity.com/  http://www.foxnews.com/hannity,69813760388,1996,,
CSC Media Group US,Bringing You News That Matters!,13465,1185,http://cscmediagroupus.com,706919156150156,2017,1,1
Justice Writers,"Progressive News | Creating Justice Through Awareness.

We seek to unite communities creating social justice. Making sense of the world one day at a time.",204229,92215,http://justicewriters.com/,729272437222215,2016,11,
Political Illusions Exposed,Providing a glimpse into our future under Liberalism,737,0,http://politicalillusionsexposed.com,730086470386080,,,
Reverb Press,Reverb Press - Stories That Resonate.,792957,245071,http://www.reverbpress.com,731244080298286,2014,11,12
The American Mirror,Reflections of our times & culture,117859,632,http://theamericanmirror.com,735302356547665,,,
The Frisky,"Relationship Tips, Celebrity Gossip & Sexy Fun",112826,858,www.thefrisky.com,7458504675,2004,,
Liberty Talk FM,LIVE political talk radio.,10133,3,http://LibertyTalk.fm,749061648443344,2013,11,
USA 24, If You're Proud To Be An American.,271222,5612,http://www.usatwentyfour.com/,752089438256272,2015,12,1
If You Only News,News,579218,35870,http://www.IfYouOnlyNews.com,762592150466931,,,
The Nation Magazine,Instigating progress since 1865. Subscribe: http://bit.ly/2thSxmx,620870,73549,thenation.com,7629206115,1865,7,6
Mother Jones,"Investigative journalism, politics, chart-tastic, sometimes sarcastic.",1545183,146384,www.motherjones.com,7642602143,1976,,
Daily News 24/7,,1045,3,http://www.dailynews24-7.com,767739230029205,,,
IOTW Report,"The original core: Irony Curtain, Mr. Pinko, Hippie Critic, Admin Girl, BigFurHat
",783,69,http://iotwreport.com/,768969409823211,,,
American Patriot Daily News Network,American Patriot Daily is a conservative news and opinion website.,382506,38519,http://www.americanpatriotdaily.com/,769354053132340,,,
In Democrats We Trust,In Democrats We Trust!,641395,41288,,776713152468040,,,
Big American News,News and entertainment.,8059,46,http://bigamericannews.com,778293698901245,,,
Liberty Viral,"Liberty Viral is a website devoted to the best libertarian viral content on the web.
Twitter @LibertyViral ",23400,2757,http://www.libertyviral.com,799007653446065,,,
InfoWars,"Watch the free video stream www.infowars.com/show
 Because There Is A War on For Your Mind!
www.infowarsnews.com",795716,58964,www.infowars.com,80256732576,1996,,
The Rebel,"TheRebel.media: A fearless source of news, opinion and activism. And some fun, too",138454,19105,http://www.therebel.media/,811793512220923,2015,2,13
Countercurrents.org,"www.countercurrents.org provides   news, views & analysis on key issues that threaten the very existence of humanity and other species on our planet",88264,411,http://www.countercurrents.org,81307324765,2002,3,27
The Trump Media,Website coming soon...,63551,9432,,822016851270450,,,
SpartaReport,A Conservative news and opinion website providing continuously updated headlines with commentary on daily events and breaking stories.,3054,20,https://www.spartareport.com,824651571003336,2016,2,
Us viewer,United States News,349,2,http://www.usviewer.com/,825897147516847,,,
Higgins News Network,Higgins News Network aggregates and reports world news and political issues with a focus on government corruption and environmental activism.,743,0,http://www.alexanderhiggins.com,827052560703226,,,
Truthout,Truthout is a nonprofit organization dedicated to providing independent news and commentary on a daily basis. Follow us on Twitter: @Truthout.,748762,12584,http://www.truth-out.org,83865976093,2001,,
Newsmax,Newsmax brings you exclusive stories the major media won't report. ,1199572,25180,http://www.Newsmax.com,85452072376,1998,,
usdefensewatch.com,"US Defense Watch - news and commentary on military readiness, policy, history and veterans issues.",1320,54,http://usdefensewatch.com,870254066367607,,,
The Angry Patriot,"We're SICK AND TIRED of the establishment telling us how to live our lives.

We're taking America back. It's time to make America great again.",1109597,27044,http://www.angrypatriotmovement.com/,872535699511452,2015,12,29
Right Edition Your Conservative Right Wing News Website and Blog,"RightEdition.com is your #1 source for all news on gun rights & gun laws, conservative news updates and right wing news commentary.",1098,30,http://www.rightedition.com,879232675425585,,,
Daily News Bin,Daily News Bin is the place for news and insight about politics and elections.,71497,7205,http://palmerreport.com,879307625456770,,,
Today Politics,"Everything about daily news,politics,media.",242094,48547,http://todaypoliticsus.com/,879418882166765,,,
Political Ears,The inside scoop on American politics and news with a distinct conservative perspective.,70,0,,882703445081566,,,
Accuracy in Media,"The premiere source for conservative news and media criticism.
@AccuracyinMedia www.aim.org",12471,192,http://www.aim.org,8936818385,1969,,
DC Whispers,A peek Behind The Political Curtain...,3712,3982,http://DCWhispers.com,897023440417172,,,
Excalibur News,Slicing Through the Mainstream Media.,38453,43558,http://www.excaliburreport.com,903791689730369,,,
Foreign Policy Journal,"News, analysis, and commentary on US policy and international affairs from outside the standard framework offered by the mainstream media establishment.",15345,77,https://www.foreignpolicyjournal.com,91414372270,2008,,
WeaselZippers,Scouring The Bowels Of The Internet,4248,299,http://weaselzippers.us/,916120348409972,2008,1,1
World News Politics,"If we ever forget that we are One Nation Under God, then we will be a nation gone under. - Ronald Reagan",2107026,335122,http://www.worldnewspolitics.com,929534787140343,2015,9,9
Rewire,"Evidence. Public Health. Human Rights.

News, information, and commentary on reproductive rights and justice.",110470,9325,https://rewire.news,9432926737,2006,6,
Think Right Politics,This is Think Right - Inspiring thought since 2016 - Our editors are Josh Gray and Rachel Klaus - ,1591,6,thinkrightpolitics.com,945145548946376,2017,3,22
Insta world news,hello… we have started this blog for all latest news…,914,0,http://www.instaworldnews.com,946155132159916,,,
Breitbart,Breitbart News (www.breitbart.com) is a conservative news and opinion website founded by the late Andrew Breitbart.,3524540,543547,http://www.breitbart.com,95475020353,2012,11,16
American Update,"Social, Culture, & Entertainment News",33825,904,http://americanupdate.com,956112704484286,2016,6,
Jeffrey Dunetz's The Lid Blog,,119187,2641,http://lidblog.com,961038380624167,,,
Liberal Mountain,On top of the mountain is a place where everyone matters. We have three admins who are all liberal combat veterans. ,146796,55855,http://www.LiberalMountain.com,968877143183195,,,
Tammy Bruce,"Official Page for Radio Talk Show Host, Columnist and Author Tammy Bruce. Become a Tammy Army Member! http://tammybruce.com",89598,2141,http://TammyBruce.com,97464672662,,,
The Proud Conservative,"Conservative articles, images and videos that deliver a message mainstream media chooses to ignore.",741768,26966,http://proudcons.com,978296472213431,2015,9,27
Proud Liberals,LIKE if you are a Proud Liberal!,2413702,158502,http://RealtimePolitics.com,979613892126968,,,
Talking Points Memo,"Welcome to the Talking Points Memo Facebook page. Like, share, and engage with us on all the breaking news from Team TPM.",417009,12381,www.talkingpointsmemo.com ,98658495398,2000,,
Pro-America News,We tell the real news about America that the mainstream newspapers will never tell you. This is the pro-America page.,298593,12231,http://ProAmericaNews.com,993293174040189,,,
